2,2066/55760
3,2066/73602
5,2066/72591
16,2066/74406
21,2066/76509
24,2066/76500
31,2066/77571
36,2066/77568
41,2066/81998
42,2066/83219
43,2066/83249
47,2066/83262
49,2066/85057
51,2066/83279
54,2066/87164
55,2066/87197
57,2066/79490
59,2066/87194
61,2066/74392
71,2066/91394
77,2066/92578
78,2066/91404
85,2066/92747
87,2066/93571
90,2066/93606
97,2066/100895
100,2066/99202
101,2066/105840
108,2066/105836
113,2066/105816
114,2066/102332
121,2066/112295
123,2066/112890
125,2066/116781
135,2066/112937
138,2066/115722
141,2066/122939
145,2066/124938
146,2066/125127
150,2066/126060
153,2066/125184
160,2066/127100
164,2066/133272
165,2066/128475
166,2066/129393
167,2066/130434
171,2066/131896
172,2066/132138
175,2066/135188
177,2066/141423
179,2066/139129
184,2066/141075
185,2066/140673
